,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
0,20,3.BIFXML,20,102,1.1264513020141749,20,78,0.4555947650078451
1,20,1.BIFXML,20,89,0.6990876869967906,19,62,0.3305715960013913
2,20,9.BIFXML,20,93,0.7844131520105293,20,62,0.38572373500210233
3,20,5.BIFXML,20,88,0.6881260439986363,19,58,0.2811454809998395
4,20,7.BIFXML,20,81,0.5163773410022259,19,54,0.260544958000537
5,20,2.BIFXML,20,90,0.4718444269965403,20,76,0.39298151699767914
6,20,0.BIFXML,20,92,1.0318627230008133,19,47,0.2634978480054997
7,20,8.BIFXML,20,94,0.5575424370035762,19,67,0.2735645909997402
8,20,4.BIFXML,20,87,0.4441030239977408,19,70,0.3029938069958007
9,20,6.BIFXML,20,92,0.5185788640083047,20,75,0.4175905560114188
10,18,3.BIFXML,18,78,0.7043512780073797,17,55,0.2900891799945384
11,18,1.BIFXML,18,75,0.38323180099541787,17,42,0.21918586100218818
12,18,9.BIFXML,18,79,0.3795008599990979,17,58,0.20975147100398317
13,18,5.BIFXML,18,76,0.31527309500961564,14,32,0.11872594799206126
14,18,7.BIFXML,18,69,0.2778772439924069,16,37,0.15820854200865142
15,18,2.BIFXML,18,82,0.41554738000559155,18,61,0.3081202379980823
16,18,0.BIFXML,18,72,0.37634506399626844,18,50,0.24749977300234605
17,18,8.BIFXML,18,85,0.7295497000013711,17,58,0.27325766799913254
18,18,4.BIFXML,18,60,0.3302707510010805,18,53,0.2905342950107297
19,18,6.BIFXML,18,71,0.5475029920053203,18,53,0.30504415300674736
20,27,3.BIFXML,27,168,32.34120111100492,26,113,8.110306324000703
21,27,1.BIFXML,27,175,17.87145427199721,24,112,2.2458437739987858
22,27,9.BIFXML,27,183,21.860250587997143,26,138,7.5493179650075035
23,27,5.BIFXML,27,163,15.73011082499579,27,125,14.690739736004616
24,27,7.BIFXML,27,172,21.33431772599579,26,121,7.75802984200709
25,27,2.BIFXML,27,172,17.086973819008563,27,121,14.08532843599096
26,27,0.BIFXML,27,172,17.924068570995587,25,113,3.783895360000315
27,27,8.BIFXML,27,177,20.113549403002253,25,116,3.9447075859934557
28,27,4.BIFXML,27,167,20.811217562004458,27,142,17.89622798100754
29,27,6.BIFXML,27,182,24.970337964012288,26,126,9.08297289701295
30,9,3.BIFXML,9,24,0.10186959999555256,9,14,0.0931776740035275
31,9,1.BIFXML,9,18,0.08490044799691532,9,15,0.07061555000836961
32,9,9.BIFXML,9,19,0.08428885899775196,7,9,0.06973297201329842
33,9,5.BIFXML,9,20,0.08073661699017975,7,11,0.052526888001011685
34,9,7.BIFXML,9,20,0.08377077900513541,8,14,0.06569688199670054
35,9,2.BIFXML,9,10,0.08257999400666449,6,3,0.043507802998647094
36,9,0.BIFXML,9,17,0.08131634899473283,9,13,0.083346112005529
37,9,8.BIFXML,9,18,0.08030867799243424,6,2,0.04239681799663231
38,9,4.BIFXML,9,23,0.08346733299549669,8,14,0.06607385800452903
39,9,6.BIFXML,9,18,0.08373532300174702,9,12,0.07162917499954347
40,11,3.BIFXML,11,26,0.10132147799595259,11,26,0.11683612300839741
41,11,1.BIFXML,11,28,0.11385663598775864,10,25,0.09730990800017025
42,11,9.BIFXML,11,25,0.11504431400680915,11,18,0.12062207800045144
